Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,D'Angelo Russell (40676061),D'Angelo Russell,40676061,PG/SG/G/UTIL,6100,NOP@DAL 11/05/2025 08:30PM ET,DAL,28.29
PF,Aaron Gordon (40676058),Aaron Gordon,40676058,PF/F/UTIL,6100,MIA@DEN 11/05/2025 09:00PM ET,DEN,32.08
SF,Max Strus (40676065),Max Strus,40676065,SF/F/UTIL,6000,PHI@CLE 11/05/2025 07:00PM ET,CLE,0
SG/SF,Jaime Jaquez Jr. (40676068),Jaime Jaquez Jr.,40676068,SG/SF/F/G/UTIL,6000,MIA@DEN 11/05/2025 09:00PM ET,MIA,33.18
SF,Aaron Nesmith (40676075),Aaron Nesmith,40676075,SF/F/UTIL,5900,BKN@IND 11/05/2025 07:00PM ET,IND,24.57
C,Zach Edey (40676073),Zach Edey,40676073,C/UTIL,5900,HOU@MEM 11/05/2025 08:00PM ET,MEM,0
PG/SG,Jared McCain (40676082),Jared McCain,40676082,PG/SG/G/UTIL,5800,PHI@CLE 11/05/2025 07:00PM ET,PHI,4.25
C,Jarrett Allen (40676086),Jarrett Allen,40676086,C/UTIL,5800,PHI@CLE 11/05/2025 07:00PM ET,CLE,28.25
PF,Tobias Harris (40676088),Tobias Harris,40676088,PF/F/UTIL,5800,UTA@DET 11/05/2025 07:00PM ET,DET,27.25
SF/PF,Jarace Walker (40676078),Jarace Walker,40676078,SF/PF/F/UTIL,5800,BKN@IND 11/05/2025 07:00PM ET,IND,28.29
PG,CJ McCollum (40676099),CJ McCollum,40676099,PG/G/UTIL,5700,WAS@BOS 11/05/2025 07:30PM ET,WAS,23.82
PG,Davion Mitchell (40676096),Davion Mitchell,40676096,PG/G/UTIL,5700,MIA@DEN 11/05/2025 09:00PM ET,MIA,26.21
SG/SF,Cedric Coward (40676091),Cedric Coward,40676091,SG/SF/F/G/UTIL,5700,HOU@MEM 11/05/2025 08:00PM ET,MEM,28.44
PG,Isaiah Collier (40676104),Isaiah Collier,40676104,PG/G/UTIL,5600,UTA@DET 11/05/2025 07:00PM ET,UTA,0
C,Nic Claxton (40676102),Nic Claxton,40676102,C/UTIL,5600,BKN@IND 11/05/2025 07:00PM ET,BKN,30.11
PF,Jabari Smith Jr. (40676107),Jabari Smith Jr.,40676107,PF/F/UTIL,5600,HOU@MEM 11/05/2025 08:00PM ET,HOU,29.6
PF,Bilal Coulibaly (40676110),Bilal Coulibaly,40676110,PF/F/UTIL,5500,WAS@BOS 11/05/2025 07:30PM ET,WAS,30.58
PG,Ty Jerome (40676113),Ty Jerome,40676113,PG/G/UTIL,5500,HOU@MEM 11/05/2025 08:00PM ET,MEM,0
SF/PF,Josh Hart (40676116),Josh Hart,40676116,SF/PF/F/UTIL,5500,MIN@NYK 11/05/2025 07:30PM ET,NYK,21.46
PG/SG,Quenton Jackson (40676124),Quenton Jackson,40676124,PG/SG/G/UTIL,5400,BKN@IND 11/05/2025 07:00PM ET,IND,24.15
PF/C,Naz Reid (40676120),Naz Reid,40676120,PF/C/F/UTIL,5400,MIN@NYK 11/05/2025 07:30PM ET,MIN,25.21
C,Jusuf Nurkic (40676128),Jusuf Nurkic,40676128,C/UTIL,5300,UTA@DET 11/05/2025 07:00PM ET,UTA,24.07
PF/C,Isaiah Stewart (40676130),Isaiah Stewart,40676130,PF/C/F/UTIL,5200,UTA@DET 11/05/2025 07:00PM ET,DET,29.18
PF/C,Obi Toppin (40676134),Obi Toppin,40676134,PF/C/F/UTIL,5200,BKN@IND 11/05/2025 07:00PM ET,IND,26.33
SF/PF,Tari Eason (40676138),Tari Eason,40676138,SF/PF/F/UTIL,5200,HOU@MEM 11/05/2025 08:00PM ET,HOU,24.46
PG/SG,Anfernee Simons (40676142),Anfernee Simons,40676142,PG/SG/G/UTIL,5100,WAS@BOS 11/05/2025 07:30PM ET,BOS,21.5
SF,Khris Middleton (40676148),Khris Middleton,40676148,SF/F/UTIL,5100,WAS@BOS 11/05/2025 07:30PM ET,WAS,21.96
C,Kel'el Ware (40676146),Kel'el Ware,40676146,C/UTIL,5100,MIA@DEN 11/05/2025 09:00PM ET,MIA,21.79
SF,Jaylen Wells (40676151),Jaylen Wells,40676151,SF/F/UTIL,5100,HOU@MEM 11/05/2025 08:00PM ET,MEM,18.06
SG/SF,Jaylon Tyson (40676154),Jaylon Tyson,40676154,SG/SF/F/G/UTIL,5000,PHI@CLE 11/05/2025 07:00PM ET,CLE,20.04
C,Andre Drummond (40676171),Andre Drummond,40676171,C/UTIL,5000,PHI@CLE 11/05/2025 07:00PM ET,PHI,17.08
PG,Jeremiah Fears (40676162),Jeremiah Fears,40676162,PG/G/UTIL,5000,NOP@DAL 11/05/2025 08:30PM ET,NOP,23.86
SG,Christian Braun (40676159),Christian Braun,40676159,SG/G/UTIL,5000,MIA@DEN 11/05/2025 09:00PM ET,DEN,22.79
PG,T.J. McConnell (40676165),T.J. McConnell,40676165,PG/G/UTIL,5000,BKN@IND 11/05/2025 07:00PM ET,IND,0
SG,Kentavious Caldwell-Pope (40676168),Kentavious Caldwell-Pope,40676168,SG/G/UTIL,5000,HOU@MEM 11/05/2025 08:00PM ET,MEM,20.41
C,Yves Missi (40676175),Yves Missi,40676175,C/UTIL,4900,NOP@DAL 11/05/2025 08:30PM ET,NOP,20.15
C,Dereck Lively II (40676177),Dereck Lively II,40676177,C/UTIL,4900,NOP@DAL 11/05/2025 08:30PM ET,DAL,19.25
PF,Kyle Filipowski (40676179),Kyle Filipowski,40676179,PF/F/UTIL,4900,UTA@DET 11/05/2025 07:00PM ET,UTA,17.11
PG/SG,Caris LeVert (40676185),Caris LeVert,40676185,PG/SG/G/UTIL,4900,UTA@DET 11/05/2025 07:00PM ET,DET,10.62
SF,Cameron Johnson (40676182),Cameron Johnson,40676182,SF/F/UTIL,4900,MIA@DEN 11/05/2025 09:00PM ET,DEN,16.12
C,Jock Landale (40676173),Jock Landale,40676173,C/UTIL,4900,HOU@MEM 11/05/2025 08:00PM ET,MEM,22.19
SG/SF,Max Christie (40676189),Max Christie,40676189,SG/SF/F/G/UTIL,4800,NOP@DAL 11/05/2025 08:30PM ET,DAL,21.68
PG,RayJ Dennis (40676197),RayJ Dennis,40676197,PG/G/UTIL,4800,BKN@IND 11/05/2025 07:00PM ET,IND,19.38
PG,Scotty Pippen Jr. (40676194),Scotty Pippen Jr.,40676194,PG/G/UTIL,4800,HOU@MEM 11/05/2025 08:00PM ET,MEM,0
PF,Josh Minott (40676202),Josh Minott,40676202,PF/F/UTIL,4700,WAS@BOS 11/05/2025 07:30PM ET,BOS,22.54
SG,Sam Merrill (40676211),Sam Merrill,40676211,SG/G/UTIL,4700,PHI@CLE 11/05/2025 07:00PM ET,CLE,26.38
C,Daniel Gafford (40676200),Daniel Gafford,40676200,C/UTIL,4700,NOP@DAL 11/05/2025 08:30PM ET,DAL,23.5
SF,Herbert Jones (40676205),Herbert Jones,40676205,SF/F/UTIL,4700,NOP@DAL 11/05/2025 08:30PM ET,NOP,20.54
SG/SF,Ben Sheppard (40676214),Ben Sheppard,40676214,SG/SF/F/G/UTIL,4700,BKN@IND 11/05/2025 07:00PM ET,IND,17.93
PG,Mike Conley (40676208),Mike Conley,40676208,PG/G/UTIL,4700,MIN@NYK 11/05/2025 07:30PM ET,MIN,18.29
C,Isaiah Jackson (40676219),Isaiah Jackson,40676219,C/UTIL,4600,BKN@IND 11/05/2025 07:00PM ET,IND,17.36
C,Neemias Queta (40676221),Neemias Queta,40676221,C/UTIL,4500,WAS@BOS 11/05/2025 07:30PM ET,BOS,23.84
PG/SG,Lonzo Ball (40676223),Lonzo Ball,40676223,PG/SG/G/UTIL,4500,PHI@CLE 11/05/2025 07:00PM ET,CLE,20.5
C,Adem Bona (40676230),Adem Bona,40676230,C/UTIL,4500,PHI@CLE 11/05/2025 07:00PM ET,PHI,10.86
